Date,Open,High,Low,Close,Adj Close,Volume
30/03/2020,155,157.399994,147.5,150.100006,150.100006,12414821
31/03/2020,150.600006,155,133.800003,135.5,135.5,18469167
01/04/2020,137.5,143.649994,127.550003,131.300003,131.300003,16831524
03/04/2020,136.949997,139.100006,109.25,110.949997,110.949997,44025004
07/04/2020,118.949997,118.949997,105.550003,116.199997,116.199997,38387389
08/04/2020,113,133.600006,110.5,121.099998,121.099998,42659922
09/04/2020,127,128.899994,118.199997,120.849998,120.849998,27822036
13/04/2020,120,120,112.300003,117.599998,117.599998,22327659
15/04/2020,120,127.75,118.150002,120.5,120.5,28186140
16/04/2020,118.900002,125.900002,115,124.050003,124.050003,22608464
17/04/2020,131,135.800003,124.75,128,128,35278149
20/04/2020,130.899994,131,118.599998,119.599998,119.599998,26700274
21/04/2020,114,114.400002,108.5,109.150002,109.150002,23423330
22/04/2020,109,109.099998,101.550003,105.150002,105.150002,40495644
23/04/2020,106.949997,115.650002,104.75,106.400002,106.400002,59383657
24/04/2020,104.5,110.699997,101.699997,107.150002,107.150002,44503626
27/04/2020,110,117.849998,107.449997,116.699997,116.699997,52209225
28/04/2020,124,127.900002,121.199997,126.25,126.25,58732549
29/04/2020,120,127.25,118.099998,125.849998,125.849998,39556095
30/04/2020,130,136.5,130,132.149994,132.149994,40808994
04/05/2020,126.099998,126.300003,117.150002,121.050003,121.050003,24597583
05/05/2020,125,128.5,121.599998,122.800003,122.800003,38663534
06/05/2020,123.199997,134.350006,119.849998,132.100006,132.100006,54138532
07/05/2020,132.050003,137,126.699997,128.850006,128.850006,58869298
08/05/2020,132.899994,133.899994,117.550003,119.349998,119.349998,75416787
11/05/2020,121.949997,122.400002,114.199997,117.099998,117.099998,47660865
12/05/2020,114.849998,118.400002,111.199997,116.75,116.75,37718418
13/05/2020,125.5,126.800003,119.199997,121.5,121.5,41828857
14/05/2020,118.5,126,116.5,124.25,124.25,41302019
15/05/2020,123.900002,125.400002,120.050003,120.900002,120.900002,24187204
18/05/2020,120,120.800003,108.849998,109.400002,109.400002,30932148
19/05/2020,111,113.900002,108,109.849998,109.849998,36530442
20/05/2020,109.849998,113.449997,108.550003,112.449997,112.449997,21071334
21/05/2020,112.449997,115.449997,111.050003,112,112,19874175
22/05/2020,110,114.199997,105.5,107.25,107.25,28508556
26/05/2020,109.900002,111.550003,108.300003,110.550003,110.550003,16240250
27/05/2020,110.550003,118.800003,110.050003,118.150002,118.150002,34808608
28/05/2020,120.5,123,115.75,116.650002,116.650002,35971637
29/05/2020,114,121.349998,112.650002,120.5,120.5,36020696
01/06/2020,122.050003,132,122.050003,129.850006,129.850006,39859941
02/06/2020,129.5,130.399994,125,127.150002,127.150002,34065405
03/06/2020,130.25,137.800003,128.699997,130.75,130.75,52035184
04/06/2020,130,132.5,121.300003,122.400002,122.400002,44072776
05/06/2020,123.25,128.300003,123.050003,126.25,126.25,34395348
08/06/2020,131,137.899994,130.350006,132.5,132.5,49470287
09/06/2020,134.399994,151.600006,129.550003,140.550003,140.550003,96327769
10/06/2020,141.699997,168.649994,141.5,164.199997,164.199997,141321733
